Dataset,original dim,intrinsic dim_L1,intrinsic dim_L2,No. of instances
Project0401,14,7.97,3.90,54
Project0876,14,7.97,3.95,50
Project0711,14,7.97,4.01,45
Project0937,14,7.97,4.01,38
Project0323,14,7.97,4.19,53
Project1582,14,7.97,4.19,48
Project1148,14,7.97,4.19,54
Project0693,14,7.97,4.24,43
Project0016,14,7.97,4.33,43
Project0309,14,7.97,4.54,46
Project0349,14,7.97,4.54,49
Project0396,14,7.97,4.54,50
Project0818,14,7.97,4.54,42
Project0881,14,7.97,4.54,53
Project1167,14,7.97,4.54,55
Project1194,14,7.97,4.54,57
Project1341,14,7.97,4.54,60
Project1508,14,7.97,4.54,42
Project1513,14,7.97,4.54,43
Project1550,14,7.97,4.54,44
Project0504,14,7.97,4.73,55
Project1446,14,7.97,4.73,62
Project0013,14,7.97,4.86,52
Project0032,14,7.97,4.86,44
Project0262,14,7.97,5.44,44
Project1327,14,7.97,5.44,44
Project1349,14,7.97,5.44,58
Project0069,14,7.97,5.44,52
Project0255,14,7.97,5.44,63
Project0319,14,7.97,5.44,57
Project0450,14,7.97,5.44,55
Project0692,14,7.97,5.44,50
Project0718,14,7.97,5.44,25
Project0726,14,7.97,5.44,59
Project1135,14,7.97,5.44,55
Project1165,14,7.97,5.44,43
Project1169,14,7.97,5.44,48
Project1233,14,7.97,5.44,58
Project1267,14,7.97,5.44,25
Project1443,14,7.97,5.44,55
Project1509,14,7.97,5.44,59
Project1516,14,7.97,5.44,62
Project1589,14,7.97,5.44,50
Project1559,14,7.97,5.96,25
Project0119,14,7.97,6.20,57
Project0322,14,7.97,6.86,55
Project0408,14,7.97,6.86,57
Project0714,14,7.97,6.86,42
Project0803,14,7.97,6.86,62
Project1054,14,7.97,6.86,47
Project1084,14,7.97,6.86,48
Project1453,14,7.97,6.86,41
Project1541,14,7.97,6.86,45
Project0172,14,7.97,7.97,45
Project1214,14,7.97,7.97,45
Project1363,14,7.97,7.97,50
Project1373,14,7.97,7.97,43
Project1424,14,7.97,7.97,58
Project1175,14,7.97,8.59,52
Project1058,14,7.97,8.87,43
Project0944,14,7.97,9.63,44
Project1016,14,7.97,10.29,53
Project0871,14,7.97,12.30,43
Project1392,14,8.21,6.86,62
Project0138,14,8.29,6.20,59
Project0114,14,8.29,4.06,60
Project0477,14,8.44,3.43,62
Project1342,14,8.44,4.06,44
Project0816,14,8.44,4.09,51
Project0391,14,8.44,4.54,63
Project1005,14,8.44,4.54,58
Project1378,14,8.44,4.54,62
Project0146,14,8.44,5.44,54
Project1627,14,8.44,5.44,46
Project1328,14,8.44,6.86,58
Project1555,14,8.44,7.97,41
Project0924,14,8.44,7.97,60
Project0646,14,8.44,8.87,42
Project0783,14,8.59,5.01,48
Project0461,14,8.59,7.45,43
Project1436,14,8.59,5.71,44
Project1544,14,8.66,6.20,56
Project0957,14,8.87,3.18,55
Project0847,14,8.87,3.18,54
Project0063,14,8.87,3.43,42
Project0209,14,8.87,3.43,54
Project0403,14,8.87,3.43,62
Project0676,14,8.87,3.43,44
Project1238,14,8.87,3.43,60
Project1522,14,8.87,3.43,49
Project0302,14,8.87,3.65,28
Project0615,14,8.87,3.90,43
Project0121,14,8.87,4.54,43
Project0545,14,8.87,4.54,57
Project1123,14,8.87,4.54,42
Project0844,14,8.87,4.86,48
Project0475,14,8.87,5.44,44
Project1080,14,8.87,5.44,61
Project1237,14,8.87,5.44,51
Project0383,14,8.87,5.44,48
Project1185,14,8.87,5.44,37
Project1246,14,8.87,5.44,45
Project1562,14,8.87,5.44,48
Project1584,14,8.87,5.44,40
Project1190,14,8.87,6.20,58
Project1041,14,8.87,6.30,56
Project0778,14,8.87,6.34,41
Project0037,14,8.87,6.86,57
Project0091,14,8.87,6.86,44
Project0701,14,8.87,6.86,29
Project0721,14,8.87,6.86,40
Project0948,14,8.87,6.86,38
Project0413,14,8.87,7.16,62
Project0969,14,8.87,7.97,48
Project1060,14,8.87,7.97,45
Project0266,14,9.27,12.70,43
Project0998,14,9.27,3.43,52
Project0348,14,9.27,5.44,41
Project1464,14,9.27,5.44,48
Project0211,14,9.39,4.01,42
Project0094,14,9.39,5.01,48
Project0592,14,9.63,2.91,41
Project0127,14,9.63,5.71,54
Project1414,14,9.63,5.83,41
Project0420,14,9.63,2.24,45
Project0781,14,9.63,3.43,45
Project1288,14,9.63,3.43,55
Project1578,14,9.63,3.43,46
Project0572,14,9.63,3.83,25
Project1161,14,9.63,4.19,43
Project0003,14,9.63,4.86,55
Project0562,14,9.63,5.44,53
Project0738,14,9.63,5.44,59
Project0761,14,9.63,5.44,36
Project0867,14,9.63,5.44,45
Project1210,14,9.63,5.44,45
Project1326,14,9.63,5.44,37
Project1302,14,9.63,6.20,57
Project0524,14,9.63,6.86,49
Project0320,14,9.63,9.27,57
Project0205,14,9.97,4.37,57
Project0525,14,9.97,6.86,41
Project1423,14,10.29,2.53,60
Project0218,14,10.29,3.43,47
Project1093,14,10.29,3.43,44
Project1166,14,10.29,4.01,60
Project1136,14,10.29,4.54,55
Project0064,14,10.29,5.44,50
Project1262,14,10.29,5.44,63
Project1164,14,10.29,6.20,44
Project0658,14,10.29,6.20,55
Project0613,14,10.29,6.86,59
Project1179,14,10.29,6.86,56
Project1566,14,10.88,2.24,55
Project0035,14,10.88,2.53,48
Project0964,14,10.88,4.54,48
Project0158,14,10.88,6.20,55
Project0703,14,10.88,6.86,58
Project0733,14,10.88,6.86,63
Project0638,14,10.88,7.63,50
Project0502,14,11.40,3.43,59
Project0947,14,11.40,3.90,60
Project1129,14,11.40,5.44,61
Project0123,14,11.40,6.86,51
Project0506,14,11.87,5.76,59
Project0259,14,12.70,4.19,46
Project1385,14,13.06,6.86,54
