dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,3,24,0,3,0,0,0,0,17,7,4,10,1
2016-03-01,3,12,1,2,1,0,0,0,9,10,36,5,1
2016-04-01,1,4,0,1,0,0,0,0,0,0,0,8,1
2016-05-01,1,3,0,1,0,0,0,0,11,10,27,8,0
2016-06-01,1,4,0,1,0,0,0,0,2,3,4,5,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2016-08-01,1,2,0,1,0,0,0,0,0,1,0,4,1
2016-09-01,2,6,0,1,0,0,0,0,0,0,0,3,1
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,10,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-12-01,1,4,0,1,0,0,0,0,1,3,5,0,0
2017-01-01,2,15,0,1,0,0,0,0,0,2,2,5,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2017-03-01,1,7,0,1,0,0,0,0,1,0,20,3,1
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-05-01,1,3,0,1,0,0,0,0,0,0,0,2,0
2017-06-01,1,35,0,1,0,0,0,0,0,0,0,4,0
2017-07-01,1,16,0,1,0,0,0,0,2,0,5,10,0
2017-08-01,3,24,1,2,0,0,0,0,5,5,11,12,1
2017-09-01,1,8,0,1,0,0,0,0,0,1,4,7,0
2017-10-01,1,4,0,1,0,0,0,0,0,0,0,11,1
2017-11-01,1,26,0,1,0,0,0,0,0,0,0,3,2
2017-12-01,4,21,2,2,0,0,0,0,2,1,3,13,2
2018-01-01,3,16,0,2,0,0,0,0,4,3,16,5,2
2018-02-01,2,22,0,1,0,0,0,0,0,4,3,6,0
2018-03-01,2,12,1,2,1,0,0,0,2,0,4,1,1
2018-04-01,1,18,0,1,0,0,0,0,0,0,0,5,0
2018-05-01,1,18,0,1,0,0,0,0,0,0,0,4,1
2018-06-01,1,43,0,1,0,0,0,0,2,0,14,1,2
2018-07-01,2,9,0,1,0,0,0,0,1,3,6,8,2
2018-08-01,4,19,1,2,0,0,0,0,0,0,0,3,1
2018-09-01,1,4,0,1,0,0,0,0,1,0,2,6,2
2018-10-01,2,27,0,1,0,0,0,0,4,0,24,6,0
2018-11-01,3,62,1,2,1,0,0,0,4,4,26,4,0
2018-12-01,2,56,0,1,0,0,0,0,4,7,37,6,0
2019-01-01,2,69,0,1,0,0,0,0,0,0,0,8,2
2019-02-01,2,80,0,1,0,0,0,0,0,0,0,6,1
2019-03-01,2,12,0,2,0,0,0,0,13,3,31,8,0
2019-04-01,2,60,0,1,0,0,0,0,3,9,36,10,0
2019-05-01,3,71,0,2,0,0,0,0,5,0,16,5,0
2019-06-01,3,75,1,2,1,0,0,0,1,2,3,5,2
2019-07-01,3,97,0,2,0,0,0,0,0,1,1,5,2
2019-08-01,3,53,0,2,0,0,0,0,4,4,30,11,4
2019-09-01,2,6,0,2,0,3,0,1,4,6,10,15,1
2019-10-01,3,33,1,2,1,2,2,0,6,10,62,13,3
2019-11-01,2,24,0,1,0,2,3,0,3,7,39,10,2
2019-12-01,2,26,0,1,0,1,1,0,4,3,29,11,1
2020-01-01,2,47,0,1,0,1,1,0,1,1,2,23,1
2020-02-01,4,25,1,4,1,1,2,0,11,7,49,28,1
2020-03-01,2,40,0,1,0,0,0,0,0,1,1,15,3
2020-04-01,2,49,0,1,0,1,0,0,2,1,30,35,3
2020-05-01,2,37,0,1,0,0,0,0,2,0,19,19,0
2020-06-01,2,42,0,1,0,0,0,0,2,3,34,16,0
2020-07-01,2,27,0,1,0,0,0,0,1,1,8,10,2
2020-08-01,2,26,0,1,0,0,0,0,5,3,27,14,2
