sa,sa_md,sd,mar,mdar,sdar,mmre,mdmre,pred,dataset,goal,model,tuner
0.39538699429271,0.125,0.379588134428933,1.14121256884415,0.875,1.35886869431056,inf,0.75,0.216216216216216,project0001.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.232249778528991,0,0.318761729971691,1.44913555316369,1,1.49209486452304,inf,0.7875,0.081081081081081,project0001.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.156707142049139,0,0.253642007433806,1.59172296928051,1,1.63472455497468,inf,1,0.189189189189189,project0001.csv,5,DecisionTreeRegressor,DodgeCV
0.139236111111111,,-0.052321797927557,0.362162162162162,0,0.485891778640347,inf,1,0.027027027027027,project0007.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.187890651497422,,-0.025686008947649,0.341691004191004,0,0.473593153915073,inf,1,0.054054054054054,project0007.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.192536789021164,,0.000430679845486,0.339736164736165,0,0.461534214914775,inf,1,0.027027027027027,project0007.csv,5,DecisionTreeRegressor,DodgeCV
0.260815339995745,0.285714285714286,0.30937814801973,3.39489244605524,2.14285714285714,3.42118864019652,1.00181572934024,0.765432098765432,0.186046511627907,project0014.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.222159857823562,0,0.332501884071219,3.57242752155885,3,3.30663874162118,1.1619728553307,0.686274509803921,0.162790697674419,project0014.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.292379110396068,0.291666666666667,0.423046241845241,3.24992784992785,2.125,2.85810192315511,0.997697434283569,0.6,0.116279069767442,project0014.csv,5,DecisionTreeRegressor,DodgeCV
0.420035259326661,-inf,0.043194205326482,0.334451659451659,0.166666666666667,0.457860219392099,inf,1,0.151515151515152,project0025.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.317775629360024,-inf,0.002721633703622,0.393422318422318,0.25,0.477227556657159,inf,1,0.151515151515152,project0025.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.170541401273885,-inf,-0.066113874128588,0.478328741965106,0.25,0.510167408081006,inf,1,0.03030303030303,project0025.csv,5,DecisionTreeRegressor,DodgeCV
0.403801229085859,0.441558441558442,0.160674387701724,0.947146800884376,0.558441558441559,1.31598559809714,inf,1,0.052631578947369,project0039.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.332132687080092,0.393939393939394,0.164581014840058,1.06100250404312,0.606060606060606,1.30986036496252,inf,0.902777777777778,0.052631578947369,project0039.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.393880741461387,0.541958041958042,0.120335691540269,0.96290691072547,0.458041958041958,1.37923297482037,inf,0.9375,0.052631578947369,project0039.csv,5,DecisionTreeRegressor,DodgeCV
-1.15890913545121,,-0.581353994807819,0.215292877773528,0,0.406457711701717,inf,inf,0,project0066.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
-1.0413846010864,,-0.409218592348257,0.203572979609724,0,0.362213499453042,inf,inf,0,project0066.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
-1.13207931320676,,-0.630674191591972,0.212617327632807,0,0.419134553440749,inf,inf,0,project0066.csv,5,DecisionTreeRegressor,DodgeCV
0.546509704799351,,-2.71618762521744,3.27044513457557,0,10.6090985314227,inf,1,0,project0103.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.513908548128732,,-2.97217409647235,3.50555555555556,0,11.3398973957818,0.872392847787623,0.943478260869565,0,project0103.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.551885414716345,,-2.6111292390411,3.23167701863354,0,10.3091742856893,inf,1,0,project0103.csv,5,DecisionTreeRegressor,DodgeCV
0.357950665897992,-0.029411764705882,0.442078192125713,2.40222539970139,2.05882352941176,2.0059841682094,inf,0.514705882352941,0.190476190476191,project0123.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.302145642088694,0,0.367237069581978,2.61101970647087,2,2.27507224620685,inf,0.69978354978355,0.190476190476191,project0123.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.381320080303692,0,0.419513348056057,2.31478881519027,2,2.08711510685169,inf,0.515625,0.238095238095238,project0123.csv,5,DecisionTreeRegressor,DodgeCV
0.525493025493026,,-0.797367783577027,1.91819444444444,0,4.18608401294407,0.760322156476003,0.846153846153846,0.025,project0155.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.47601208315494,,-0.849411800320931,2.11822115384615,0,4.30729494620531,0.817761860271982,0.846153846153846,0,project0155.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.52209592181314,,-0.687388580502598,1.93192723607038,0,3.92994156510851,0.816711696163505,0.9,0,project0155.csv,5,DecisionTreeRegressor,DodgeCV
0.203577169358419,-0.166666666666667,0.325405135122022,1.58509249148784,1.16666666666667,1.19358344902068,inf,0.5,0.186046511627907,project0166.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
0.176682460868781,-0.272727272727273,0.350379031850248,1.63862008869815,1.27272727272727,1.14939629115111,inf,0.611111111111111,0.116279069767442,project0166.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
0.201322950450788,-0.428571428571428,0.408826221946069,1.58957898450033,1.42857142857143,1.04598370624691,inf,0.56,0.186046511627907,project0166.csv,5,DecisionTreeRegressor,DodgeCV
,,,0,0,0,,,0,project0175.csv,5,DecisionTreeRegressor,DifferentialEvolutionCV
,,,0,0,0,,,0,project0175.csv,5,DecisionTreeRegressor,RandomRangeSearchCV
,,,0,0,0,,,0,project0175.csv,5,DecisionTreeRegressor,DodgeCV
