sa,sa_md,sd,mar,mdar,sdar,mmre,mdmre,pred,dataset,goal,model,tuner
0.398982119,0.416,0.39760984,20.46386246,14.6,22.47498993,inf,0.791666667,0.162790698,project1013.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.352752381,0.26671123,0.454634797,29.6697813,24.93181818,24.62420698,inf,0.694798137,0.160714286,project1097.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.320252197,0.163903743,0.427231458,31.15958725,28.42727273,25.86151638,inf,0.675178767,0.214285714,project1097.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.153095698,0.284366577,-0.041063253,48.22908272,37.92857143,40.30477474,1.203447365,0.398201754,0.3,project1113.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.233303316,0.386538462,-0.070670388,43.66145943,31.9,41.45101528,1.124355487,0.431410256,0.325,project1113.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.273968034,0.227134146,0.47985021,45.77501163,31.6875,46.72239898,inf,1.156425891,0.108695652,project1168.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.268200463,0.320121951,0.256742928,46.13864661,27.875,66.76298663,inf,1.036585366,0.108695652,project1168.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
-0.031907709,-0.45,0.335522956,18.49515564,11.6,17.45409344,inf,6.733333333,0.057142857,project1254.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.033789589,-0.75,0.401341777,17.31764553,14,15.72520322,inf,4.75,0.057142857,project1254.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.312857866,0.679340278,0.226072523,29.9298174,10.26111111,38.93335238,inf,1.180440199,0.057692308,project1342.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.39726968,0.723958333,0.21818796,26.253096,8.833333333,39.32999479,inf,1.071428571,0.096153846,project1342.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.411929896,0.456043956,0.387023629,17.64332699,14.14285714,16.62894046,inf,0.472222222,0.258064516,project1364.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.461622349,0.481268731,0.501283055,16.15244997,13.48701299,13.52928885,inf,0.526397516,0.241935484,project1364.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.336113975,0.390522876,0.510969581,47.95889074,31.08333333,40.93039582,0.825258512,0.465145204,0.269230769,project1365.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.445685743,0.46875,0.547789761,40.04346512,27.625,37.8486559,0.776727774,0.348654652,0.365384615,project1365.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.294785576,0.305059524,0.244822731,12.62639651,11.11904762,10.82553939,0.891839105,0.402437545,0.375,project1456.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.165099375,0.110416667,0.333368907,14.94834192,14.23333333,9.556221376,1.030724928,0.589609366,0.196428571,project1456.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
