sa,sa_md,sd,mar,mdar,sdar,mmre,mdmre,pred,dataset,model,tuner
0.04632511965891928,0.22899159663865543,0.1836627985187721,38.66709956709956,26.214285714285715,37.3222766939958,inf,0.5345617622455618,0.30434782608695654,project0103.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.14707961294507366,0.3137254901960783,0.17935904506657108,34.58197149668731,23.333333333333336,37.51904082145971,inf,0.47901785714285716,0.32608695652173914,project0103.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.107611075437546,0.2549019607843138,-0.07607608354338491,10.85417166627574,6.705882352941176,14.476484811045882,inf,0.3231707317073171,0.3333333333333333,project0244.csv,DecisionTreeRegressor,DifferentialEvolutionCV
-0.05773544811044817,0.11111111111111116,-0.012659305905538432,12.865289802789803,8.0,13.623336941411305,inf,0.5447154471544715,0.23076923076923078,project0244.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.4009415831123352,0.5590145148968677,0.18649736827104102,20.996084819033737,12.347593582887704,23.640017342186322,0.4251521964693812,0.2093177906430919,0.5526315789473685,project0317.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.30600215027897304,0.488095238095238,0.10311013007358205,24.323567295277822,14.333333333333336,26.06321264631871,0.4793517184804618,0.22637085137085133,0.5263157894736842,project0317.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.34885734353398967,0.19791666666666663,0.46842828578044005,41.14446675290549,25.666666666666668,41.932627152034,inf,0.8458333333333334,0.2,project0319.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.31012273565974224,0.4326923076923077,0.3777540024732081,43.59203299671214,18.153846153846153,49.08539847618613,inf,0.8333333333333334,0.12727272727272726,project0319.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.41258248183383006,0.5789473684210527,0.42435053478852125,25.962641408104783,16.0,24.616605988403904,0.8426785370222077,0.3938775510204081,0.3584905660377358,project0503.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.5195932237588146,0.5810810810810811,0.555569804003432,21.23298756991657,15.5,19.005251781442073,0.6912239074757756,0.36875,0.3018867924528302,project0503.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.371372239590414,0.4310897435897436,0.3434575556494516,28.11265039250063,22.1875,22.132717549311785,0.8315663327036323,0.26921044072206857,0.4642857142857143,project0504.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.33875557084221364,0.41832386363636365,0.35597652175245376,29.57128945242493,23.267045454545453,21.710690393030607,0.7750975399266797,0.296762709057791,0.4642857142857143,project0504.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.3789069381836694,0.475,0.2818547448649841,23.10642061183857,13.125,26.420065231515533,2.8820732733538894,0.5384615384615384,0.2631578947368421,project0570.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.35429024201476245,0.3759999999999999,0.2933990447542273,24.022231414955872,15.600000000000001,25.99535845535137,2.189418335750487,0.5848765432098765,0.21052631578947367,project0570.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.4253083096955099,0.63671875,0.37301074879381846,33.118025443025445,11.625,60.507210330171716,inf,2.8984375,0.08108108108108109,project0597.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.4895821616566899,0.6171875,0.4109050995307202,29.414086269233326,12.25,56.85023942364974,inf,1.322222222222222,0.13513513513513514,project0597.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.4149687108369421,0.485,0.5373915027714609,35.27446158008658,25.75,27.406371731826678,0.34416003024458797,0.2413708379225621,0.525,project0625.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.38036943361804476,0.50775,0.4481111982962319,37.36062499999999,24.612499999999997,32.69561571985916,0.3741439549060435,0.2493661257606491,0.5,project0625.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.12514146192334552,-0.1171875,0.29309016884438877,54.304835147321924,35.75,72.01105583701924,1.5885306914904294,0.6254800442344425,0.23214285714285715,project0630.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.06264101441207648,0.23875000000000002,0.08230698338600606,58.18440693065854,24.36,93.48298771372716,1.558401247210931,0.4860337552742616,0.32142857142857145,project0630.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.27787150121952164,0.22748447204968947,0.41622585185092054,19.57705315517816,17.767857142857142,15.323481470554292,inf,0.9148936170212765,0.3076923076923077,project0669.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.30290667371533875,0.375,0.4529857590092522,18.89834444401752,14.375,14.35857105445251,inf,0.7401709401709402,0.21153846153846154,project0669.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.18516253978366282,0.08666666666666645,0.3772863158680746,15.385704276098654,13.700000000000003,12.07303265450228,1.2711200296270078,0.4868421052631579,0.23728813559322035,project0685.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.20950819509711638,0.1333333333333333,0.44678265612031753,14.926011304986137,13.0,10.725653262312825,1.123203262364645,0.4580498866213152,0.23728813559322035,project0685.csv,DecisionTreeRegressor,RandomRangeSearchCV
0.005678748934926592,-0.03298611111111116,0.17171653642534312,28.555700376158363,16.52777777777778,28.659771906339255,inf,0.9527777777777777,0.08620689655172414,project0718.csv,DecisionTreeRegressor,DifferentialEvolutionCV
0.0756399894312636,-0.21590909090909083,0.2931029998804613,26.546498401024262,19.454545454545453,24.45962967468488,inf,1.088888888888889,0.1896551724137931,project0718.csv,DecisionTreeRegressor,RandomRangeSearchCV
