sa,sa_md,mar,effect_size,dataset,goal,model,tuner
-0.08814193458994457,,3.5895171487276767,0.10856503178971869,project0001.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-0.4092625638977174,,4.648816463522346,0.5040915367537934,project0001.csv,0,DecisionTreeRegressor,DodgeCV
-0.6878743304230466,-inf,5.567889317889319,0.8472595807788081,project0001.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.0032940243773292854,-0.5,8.494934494934494,0.001942712760898047,project0007.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.23790897471476868,-2.0,6.4953090453090425,0.14031128740015028,project0007.csv,0,DecisionTreeRegressor,DodgeCV
0.13615995869916875,-1.4285714285714297,7.3625168750168735,0.08030289366063871,project0007.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.37725318454610157,0.0,10.100017037226342,0.3298619814913276,project0014.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.45707344773132863,0.0740740740740734,8.805452379357988,0.3996550839912236,project0014.csv,0,DecisionTreeRegressor,DodgeCV
0.5028731117729216,0.0,8.06265068910418,0.4397013143512772,project0014.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
-0.01457974034684284,,1.8521437316891862,0.011740322644981895,project0025.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.08434775318578136,-inf,1.6715488215488217,0.06792095148627286,project0025.csv,0,DecisionTreeRegressor,DodgeCV
-0.14302062374245517,-inf,2.0866161616161625,0.11516722710268122,project0025.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.46825167007476876,0.2876984126984127,26.278825706457305,0.5908987711719954,project0039.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.38638898940443456,0.0535714285714286,30.32445217321381,0.48759415849389853,project0039.csv,0,DecisionTreeRegressor,DodgeCV
0.41588413136085545,0.24155474155473655,28.86681206220681,0.5248148332964245,project0039.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
-0.20493759177679904,,0.7576754385964913,0.15578725421336265,project0066.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.4948080553807427,,0.31766917293233077,0.3761378653964751,project0066.csv,0,DecisionTreeRegressor,DodgeCV
-0.47970421648835737,,0.9304511278195488,0.36465639160376845,project0066.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.0463251196589195,-0.11550151975683831,38.667099567099555,0.04108272694283617,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.23556962301352113,0.11968085106382975,30.99411141927125,0.2089113329775925,project0103.csv,0,DecisionTreeRegressor,DodgeCV
0.14707961294507366,0.0070921985815531885,34.58197149668731,0.13043531505087172,project0103.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.3113801126360607,-0.20833333333333437,51.6816252200181,0.22044014324963626,project0123.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.3193634069432847,-0.28255208333333437,51.082470836042255,0.22609188036858757,project0123.csv,0,DecisionTreeRegressor,DodgeCV
0.22153973754263567,-0.01953125,58.42423704463179,0.15683805579601978,project0123.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.2961899316261263,0.12113821138211389,137.77258040935672,0.35710113757863027,project0155.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.46429290359058006,0.3764227642276422,104.86600338988497,0.5597743418610407,project0155.csv,0,DecisionTreeRegressor,DodgeCV
0.3388526969356078,0.21382113821138204,129.42123744311243,0.4085374640621945,project0155.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.027387705740349655,-inf,10.562495872760293,0.018490130607961792,project0166.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-0.030947620817418198,-inf,11.196013102224855,0.02089351902436622,project0166.csv,0,DecisionTreeRegressor,DodgeCV
-0.07033193718442865,-inf,11.62372379592392,0.04748286390908372,project0166.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.16572787685820167,-0.7708333333333333,24.912645405442017,0.1610350035281969,project0175.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.35605211091824596,0.08333333333333337,19.229271811051472,0.34596987558707254,project0175.csv,0,DecisionTreeRegressor,DodgeCV
0.27599766277768545,-0.5833333333333333,21.619820439409697,0.2681823085032731,project0175.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.2783635149364535,-0.24829931972789154,5.825210071096295,0.22875579017209494,project0181.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.18408152659890853,-0.24761904761904296,6.586275232509922,0.15127598558608477,project0181.csv,0,DecisionTreeRegressor,DodgeCV
0.30363800641170613,0.0396825396825401,5.6211887593543945,0.24952606342410202,project0181.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.5113413521058203,0.22222222222222,15.028393828393826,0.48595495450788073,project0204.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.47968607319959555,0.14444444444446658,16.001932310114125,0.45587125492548264,project0204.csv,0,DecisionTreeRegressor,DodgeCV
0.49488584539466796,0.1333333333333333,15.534472737601074,0.47031640897994675,project0204.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.3354137117183802,0.3085106382978723,24.995982410816865,0.36757999357663035,project0207.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.32998554739829355,0.04964539007092339,25.20014295740102,0.3616312665681602,project0207.csv,0,DecisionTreeRegressor,DodgeCV
0.37151854080432434,0.3361702127659574,23.638031323515193,0.40714728727939825,project0207.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
