sa,sa_md,mar,mdar,mmre,mdmre,dataset,goal,model,tuner,objective,median tuning time (s),median fitting time (s)
-0.023457862728062606,0.06060606060606055,31.0,31.0,0.9393939393939394,0.9393939393939394,project0001.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012561798095703125,0.001985311508178711
0.35621198957428324,0.40909090909090906,19.5,19.5,0.5909090909090909,0.5909090909090909,project0001.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5792486667633057,0.0015041828155517578
-0.1278538812785388,0.1875,13.0,13.0,0.7647058823529411,0.7647058823529411,project0007.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011553287506103516,0.0015032291412353516
0.930593607305936,0.95,0.8000000000000007,0.8000000000000007,0.047058823529411806,0.047058823529411806,project0007.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5549757480621338,0.0015037059783935547
0.9172932330827068,0.8333333333333334,1.0,1.0,0.5,0.5,project0014.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012038946151733398,0.0010051727294921875
0.9793233082706767,0.9583333333333334,0.25,0.25,0.125,0.125,project0014.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5830495357513428,0.0015037059783935547
-26.200000000000014,-1.0,4.0,4.0,2.0,2.0,project0025.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011530876159667969,0.0015039443969726562
-3.121212121212123,0.696969696969697,0.606060606060606,0.606060606060606,0.303030303030303,0.303030303030303,project0025.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.6577410697937012,0.0015037059783935547
0.8363064008394543,0.75,4.0,4.0,0.06666666666666667,0.06666666666666667,project0039.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.01102900505065918,0.0010027885437011719
0.9744228751311648,0.9609375,0.625,0.625,0.010416666666666666,0.010416666666666666,project0039.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5459296703338623,0.0015037059783935547
-6.800000000000001,0.0,1.0,1.0,1.0,1.0,project0066.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012505531311035156,0.0015337467193603516
-3.6378378378378375,0.4054054054054055,0.5945945945945945,0.5945945945945945,0.5945945945945945,0.5945945945945945,project0066.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.560490608215332,0.0010025501251220703
-5.161585365853658,-8.555555555555555,86.0,86.0,1.8695652173913044,1.8695652173913044,project0103.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.01203012466430664,0.001531839370727539
0.0,-0.5508274231678487,13.957446808510639,13.957446808510639,0.303422756706753,0.303422756706753,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5183782577514648,0.0015037059783935547
0.9829837752275425,0.95,1.0,1.0,0.5,0.5,project0123.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011558055877685547,0.0015037059783935547
0.9914918876137713,0.975,0.5,0.5,0.25,0.25,project0123.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.546912670135498,0.0010025501251220703
0.8699272967614011,0.8421052631578947,24.0,24.0,0.25806451612903225,0.25806451612903225,project0155.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011020898818969727,0.0014848709106445312
0.9891606080634501,0.9868421052631579,2.0,2.0,0.021505376344086023,0.021505376344086023,project0155.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5554625988006592,0.0015044212341308594
-10.417721518987339,-7.199999999999999,41.0,41.0,8.2,8.2,project0166.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011035680770874023,0.0010044574737548828
