sa,sa_md,mar,mdar,mmre,mdmre,dataset,goal,model,tuner,objective,median tuning time (s),median fitting time (s)
-0.05647263249348389,0.030303030303030276,32.0,32.0,0.9696969696969697,0.9696969696969697,project0001.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.9064364433288574,0.001505136489868164
-0.05647263249348389,0.030303030303030276,32.0,32.0,0.9696969696969697,0.9696969696969697,project0001.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.7164402008056641,0.0015027523040771484
0.35621198957428324,0.40909090909090906,19.5,19.5,0.5909090909090909,0.5909090909090909,project0001.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,1.243945598602295,0.0015039443969726562
0.35621198957428324,0.40909090909090906,19.5,19.5,0.5909090909090909,0.5909090909090909,project0001.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.6009767055511475,0.0015041828155517578
-0.1278538812785388,0.1875,13.0,13.0,0.7647058823529411,0.7647058823529411,project0007.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.01604318618774414,0.0014836788177490234
0.5662100456621004,0.6875,5.0,5.0,0.29411764705882354,0.29411764705882354,project0007.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012059926986694336,0.0015041828155517578
0.930593607305936,0.95,0.8000000000000007,0.8000000000000007,0.047058823529411806,0.047058823529411806,project0007.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6091196537017822,0.0015037059783935547
0.930593607305936,0.95,0.8000000000000007,0.8000000000000007,0.047058823529411806,0.047058823529411806,project0007.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5248956680297852,0.0015039443969726562
0.9172932330827068,0.8333333333333334,1.0,1.0,0.5,0.5,project0014.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.017546892166137695,0.0020055770874023438
0.9172932330827068,0.8333333333333334,1.0,1.0,0.5,0.5,project0014.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012532949447631836,0.001504659652709961
1.0,1.0,0.0,0.0,0.0,0.0,project0014.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.7429747581481934,0.002005338668823242
1.0,1.0,0.0,0.0,0.0,0.0,project0014.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5955801010131836,0.0015037059783935547
-26.200000000000014,-1.0,4.0,4.0,2.0,2.0,project0025.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013536214828491211,0.0015032291412353516
-19.40000000000001,-0.5,3.0,3.0,1.5,1.5,project0025.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011542320251464844,0.0019941329956054688
-3.121212121212123,0.696969696969697,0.606060606060606,0.606060606060606,0.303030303030303,0.303030303030303,project0025.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6452145576477051,0.0010027885437011719
-3.121212121212123,0.696969696969697,0.606060606060606,0.606060606060606,0.303030303030303,0.303030303030303,project0025.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.584022045135498,0.0010020732879638672
0.8363064008394543,0.75,4.0,4.0,0.06666666666666667,0.06666666666666667,project0039.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013061761856079102,0.0015060901641845703
0.34522560335781727,0.0,16.0,16.0,0.26666666666666666,0.26666666666666666,project0039.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011999130249023438,0.0015039443969726562
0.9744228751311648,0.9609375,0.625,0.625,0.010416666666666666,0.010416666666666666,project0039.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6497280597686768,0.0020055770874023438
