mean_test_score,rank_test_score,dataset,goal,model,tuner,objective,iteration
-0.34777777777777774,1,project0103.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.9334051847143486,1,project0123.csv,0,LinearRegression,DefaultCV,sa,0
-1.282337373407426,1,project0123.csv,0,LinearRegression,DefaultCV,mmre,0
0.9723027375201289,1,project0123.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.5333333333333332,1,project0123.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.9480676328502415,1,project0123.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
0.0,1,project0123.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.6663934027463843,1,project0123.csv,0,SVR,DefaultCV,sa,0
-6.423866570371949,1,project0123.csv,0,SVR,DefaultCV,mmre,0
0.9536070853462157,1,project0123.csv,0,RandomForestRegressor,DefaultCV,sa,0
-1.2366666666666666,1,project0123.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-0.45167444492428976,1,project0155.csv,0,LinearRegression,DefaultCV,sa,0
-0.39707402132905495,1,project0155.csv,0,LinearRegression,DefaultCV,mmre,0
-0.40494864612511616,1,project0155.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.3842931937172774,1,project0155.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-0.7896825396825395,1,project0155.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.4895287958115183,1,project0155.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-0.33382051880769037,1,project0155.csv,0,SVR,DefaultCV,sa,0
-0.3648376390353816,1,project0155.csv,0,SVR,DefaultCV,mmre,0
0.2276610644257705,1,project0155.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.22018324607329848,1,project0155.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.6478884989351925,1,project0166.csv,0,LinearRegression,DefaultCV,sa,0
-4.024957895511301,1,project0166.csv,0,LinearRegression,DefaultCV,mmre,0
-1.1883597883597883,1,project0166.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-19.8,1,project0166.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
1.0,1,project0166.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
0.0,1,project0166.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.8978869516878785,1,project0166.csv,0,SVR,DefaultCV,sa,0
-1.8772439150450442,1,project0166.csv,0,SVR,DefaultCV,mmre,0
