sa,sa_md,mar,mdar,mmre,mdmre,dataset,goal,model,tuner,objective,median tuning time (s),median fitting time (s)
-0.05647263249348389,0.030303030303030276,32.0,32.0,0.9696969696969697,0.9696969696969697,project0001.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.9607646465301514,0.001531362533569336
-0.023457862728062606,0.06060606060606055,31.0,31.0,0.9393939393939394,0.9393939393939394,project0001.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.8889245986938477,0.0015041828155517578
0.35621198957428324,0.40909090909090906,19.5,19.5,0.5909090909090909,0.5909090909090909,project0001.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,1.4612555503845215,0.0010027885437011719
0.1720911581902025,0.24009324009324007,25.076923076923077,25.076923076923077,0.7599067599067599,0.7599067599067599,project0001.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5950777530670166,0.0010023117065429688
-0.1278538812785388,0.1875,13.0,13.0,0.7647058823529411,0.7647058823529411,project0007.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.012453317642211914,0.0015037059783935547
0.13242009132420096,0.375,10.0,10.0,0.5882352941176471,0.5882352941176471,project0007.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012027502059936523,0.0010025501251220703
0.7521200260926288,0.8214285714285714,2.8571428571428577,2.8571428571428577,0.16806722689075634,0.16806722689075634,project0007.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.640092134475708,0.0010027885437011719
0.7521200260926288,0.8214285714285714,2.8571428571428577,2.8571428571428577,0.16806722689075634,0.16806722689075634,project0007.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.7047390937805176,0.0010023117065429688
0.9172932330827068,0.8333333333333334,1.0,1.0,0.5,0.5,project0014.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.016036510467529297,0.002005338668823242
0.9172932330827068,0.8333333333333334,1.0,1.0,0.5,0.5,project0014.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.015030384063720703,0.0020058155059814453
0.9172932330827068,0.8333333333333334,1.0,1.0,0.5,0.5,project0014.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6129844188690186,0.0015037059783935547
0.9172932330827068,0.8333333333333334,1.0,1.0,0.5,0.5,project0014.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5955824851989746,0.0010020732879638672
-19.40000000000001,-0.5,3.0,3.0,1.5,1.5,project0025.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.012025117874145508,0.0010025501251220703
-19.40000000000001,-0.5,3.0,3.0,1.5,1.5,project0025.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011053800582885742,0.001477956771850586
-23.584615384615393,-0.8076923076923075,3.615384615384615,3.615384615384615,1.8076923076923075,1.8076923076923075,project0025.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6296820640563965,0.0010027885437011719
-23.584615384615393,-0.8076923076923075,3.615384615384615,3.615384615384615,1.8076923076923075,1.8076923076923075,project0025.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5594568252563477,0.0010025501251220703
0.8363064008394543,0.75,4.0,4.0,0.06666666666666667,0.06666666666666667,project0039.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.01306295394897461,0.0009951591491699219
0.05876180482686233,-0.4375,23.0,23.0,0.38333333333333336,0.38333333333333336,project0039.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012560844421386719,0.0015072822570800781
0.05876180482686233,-0.4375,23.0,23.0,0.38333333333333336,0.38333333333333336,project0039.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6000955104827881,0.0015041828155517578
0.05876180482686233,-0.4375,23.0,23.0,0.38333333333333336,0.38333333333333336,project0039.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5770044326782227,0.0015039443969726562
-6.800000000000001,0.0,1.0,1.0,1.0,1.0,project0066.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.01251530647277832,0.0014765262603759766
-6.800000000000001,0.0,1.0,1.0,1.0,1.0,project0066.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012033462524414062,0.001005411148071289
-6.800000000000001,0.0,1.0,1.0,1.0,1.0,project0066.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6206417083740234,0.0010027885437011719
-6.800000000000001,0.0,1.0,1.0,1.0,1.0,project0066.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5679929256439209,0.0010025501251220703
-5.161585365853658,-8.555555555555555,86.0,86.0,1.8695652173913044,1.8695652173913044,project0103.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013033151626586914,0.0014984607696533203
-5.161585365853658,-8.555555555555555,86.0,86.0,1.8695652173913044,1.8695652173913044,project0103.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.01256418228149414,0.0014722347259521484
-0.28312084257206194,-0.9898989898989896,17.909090909090907,17.909090909090907,0.38932806324110664,0.38932806324110664,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.5905652046203613,0.0010027885437011719
-1.7270388719512195,-3.229166666666667,38.0625,38.0625,0.8274456521739131,0.8274456521739131,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.6041064262390137,0.0015041828155517578
0.9829837752275425,0.95,1.0,1.0,0.5,0.5,project0123.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013026952743530273,0.0010044574737548828
